App_3232610	3232610	39	3560.0	84	1689	3	strong_fit|recent_fit	Bendy: Lone Wolf
App_281610	281610	90	600.0	78	5336	2	strong_fit|exceptional_discount	Homeworld: Deserts of Kharak
App_1166290	1166290	87	468.0	86	4069	2	strong_fit|exceptional_discount	Death and Taxes
App_1266030	1266030	80	1040.0	90	1850	2	strong_fit|strong_niche_fit	The Pale Beyond
App_211600	211600	75	525.0	92	2541	2	strong_fit|strong_niche_fit	Thief Gold (1999)
App_214932	214932	75	600.0	82	1816	2	strong_fit|substantive_content	BioShock Infinite: Burial at Sea - Episode Two
App_209370	209370	75	725.0	94	1694	2	strong_fit|strong_niche_fit	Analogue: A Hate Story
App_22180	22180	75	725.0	89	1965	2	strong_fit|strong_niche_fit	Penumbra Overture
App_1122680	1122680	75	1237.0	91	1787	2	strong_fit|strong_niche_fit	The Artful Escape
App_757310	757310	75	1600.0	86	3952	2	strong_fit|exceptional_discount	Sable
App_302510	302510	71	928.0	85	13809	2	mainstream_quality|strong_fit	Ryse: Son of Rome
App_204100	204100	70	795.0	85	24656	2	mainstream_quality|strong_fit	Max Payne 3
App_1398740	1398740	70	1025.0	94	1954	2	strong_fit|strong_niche_fit	The Chrono Jotter
App_1269640	1269640	70	1560.0	97	2525	2	strong_fit|strong_niche_fit	Beacon Pines
App_460810	460810	70	2100.0	90	4046	2	strong_fit|strong_niche_fit	Vanquish
App_2525380	2525380	70	2280.0	89	1494	2	strong_niche_fit|recent_fit	Tomb Raider IV-VI Remastered
App_1221250	1221250	67	1353.0	93	1742	2	strong_fit|strong_niche_fit	NORCO
App_1249040	1249040	60	2080.0	93	1790	2	strong_fit|strong_niche_fit	American Arcadia
App_967050	967050	56	660.0	87	11145	2	mainstream_quality|strong_fit	Pacify
App_1638220	1638220	50	925.0	93	2427	2	strong_fit|strong_niche_fit	Xuan-Yuan Sword: The Scar of Sky
App_1324970	1324970	50	1234.0	88	1377	2	strong_niche_fit|substantive_content	Dead By Daylight - Silent Hill Chapter
App_2469400	2469400	50	1543.0	88	830	2	strong_niche_fit|substantive_content	Dead by Daylight - Nicolas Cage Chapter Pack
App_2658470	2658470	50	1800.0	95	1490	2	strong_niche_fit|recent_fit	Is this Game Trying to Kill Me?
App_1850740	1850740	50	1999.0	82	3109	2	strong_fit|recent_fit	Ghost Watchers
App_916840	916840	50	2350.0	86	5717	2	mainstream_quality|strong_fit	The Walking Dead: Saints & Sinners
App_1672970	1672970	50	3350.0	91	7687	2	mainstream_quality|strong_fit	Minecraft Dungeons
App_963000	963000	40	900.0	94	2516	2	strong_fit|strong_niche_fit	Frog Detective 1: The Haunted Island
App_1171320	1171320	40	900.0	98	1865	2	strong_fit|strong_niche_fit	Frog Detective 3: Corruption at Cowboy County
App_2097230	2097230	40	2460.0	95	1878	2	strong_fit|strong_niche_fit	Turnip Boy Robs a Bank
App_1360810	1360810	40	3120.0	88	1717	2	strong_fit|recent_fit	Office Life
App_301280	301280	40	3300.0	94	1656	2	strong_fit|recent_fit	Skin Deep
App_2885870	2885870	35	3120.0	95	2293	2	strong_fit|recent_fit	Strange Antiquities
App_3293010	3293010	30	2099.0	94	5585	2	very_high_rating|recent_fit	Easy Delivery Co.
App_558420	558420	90	290.0	85	3260	1	strong_fit|exceptional_discount	Stories Untold
App_218640	218640	80	370.0	79	3052	1	strong_fit|exceptional_discount	Lucius
App_250620	250620	80	500.0	88	3042	1	strong_fit|exceptional_discount	Among the Sleep - Enhanced Edition
App_208140	208140	75	337.0	78	4296	1	strong_fit|exceptional_discount	ENDLESS Space™ - Definitive Edition
App_1218210	1218210	75	1300.0	86	3191	1	strong_fit|exceptional_discount	Coromon
App_237630	237630	75	1363.0	86	3421	1	strong_fit|exceptional_discount	DuckTales: Remastered
App_2996040	2996040	75	2075.0	85	2471	1	strong_fit|recent_fit	Teenage Mutant Ninja Turtles: Splintered Fate
App_2067050	2067050	70	1560.0	86	2635	1	strong_fit|recent_fit	Squirrel with a Gun
App_365360	365360	70	1770.0	89	15423	1	mainstream_quality|strong_fit	Battle Brothers
App_1763250	1763250	66	3842.0	83	2637	1	strong_fit|recent_fit	SWORN
App_2763670	2763670	50	1450.0	96	3799	1	strong_fit|very_high_rating	Arctic Eggs
App_2289750	2289750	50	1950.0	87	3045	1	strong_fit|recent_fit	Super Fantasy Kingdom
App_587620	587620	50	3699.0	92	4800	1	strong_fit|very_high_rating	Okami HD
App_538030	538030	50	3950.0	82	3034	1	strong_fit|recent_fit	Xenonauts 2
App_1675830	1675830	40	3120.0	96	4667	1	strong_fit|very_high_rating	1000xRESIST
App_2881650	2881650	38	1364.0	93	35046	1	strong_fit|very_high_rating	Content Warning
App_2764460	2764460	35	1885.0	97	2199	1	strong_fit|recent_fit	Sandustry
